Exercício: 2021
Escopo: Estados/DF
Tabela: Despesas Orçamentárias (Anexo I-D)
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.1.90.99.00 - A Classificar";"siconfi-cor_DO3.1.90.99.00.00";8411388,63
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.1.91.00.00 - Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos Fiscal e da Seguridade Social";"siconfi-cor_DI3.1.91.00.00.00";1865199654,26
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.1.91.13.00 - Contribuições Patronais";"siconfi-cor_DI3.1.91.13.00.00";1727703341,99
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.1.91.13.99 - Outras Obrigações Patronais - Intraorçamentária";"siconfi-cor_DI3.1.91.13.99.00";1727703341,99
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.1.91.92.00 - Despesas de Exercícios Anteriores";"siconfi-cor_DI3.1.91.92.00.00";137496312,27
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.2.00.00.00 - Juros e Encargos da Dívida";"siconfi-cor_DO3.2.00.00.00.00";566927266,5
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.2.90.00.00 - Aplicações Diretas";"siconfi-cor_DO3.2.90.00.00.00";566927266,5
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.2.90.21.00 - Juros sobre a Dívida por Contrato";"siconfi-cor_DO3.2.90.21.00.00";511812326,38
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.2.90.22.00 - Outros Encargos sobre a Dívida por Contrato";"siconfi-cor_DO3.2.90.22.00.00";55114940,12
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.00.00.00 - Outras Despesas Correntes";"siconfi-cor_DO3.3.00.00.00.00";23961456997,94
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.40.00.00 - Transferências a Municípios";"siconfi-cor_DO3.3.40.00.00.00";8468734511,76
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.40.41.00 - Contribuições";"siconfi-cor_DO3.3.40.41.00.00";101585689,26
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.40.81.00 - Distribuição Constitucional ou Legal de Receitas";"siconfi-cor_DO3.3.40.81.00.00";8356736002,76
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.40.92.00 - Despesas de exercícios anteriores";"siconfi-cor_DO3.3.40.92.00.00";3741402,13
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.40.93.00 - Indenizações e restituições";"siconfi-cor_DO3.3.40.93.00.00";6671417,61
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.41.00.00 - Transferências a Municípios - Fundo a Fundo";"siconfi-cor_DO3.3.41.00.00.00";257192706,71
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.50.00.00 - Transferências a Instituições Privadas sem Fins Lucrativos";"siconfi-cor_DO3.3.50.00.00.00";382192215,04
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.60.00.00 - Transferências a Instituições Privadas com Fins Lucrativos";"siconfi-cor_DO3.3.60.00.00.00";1969362,56
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.67.00.00 - Execução de Contrato de Parceria Público-Privada - PPP";"siconfi-cor_DO3.3.67.00.00.00";842038527,59
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.70.00.00 - Transferências a Instituições Multigovernamentais";"siconfi-cor_DO3.3.70.00.00.00";2893196,87
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.71.00.00 - Transferências a Consórcios Públicos mediante contrato de rateio";"siconfi-cor_DO3.3.71.00.00.00";50140391,78
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.80.00.00 - Transferências ao Exterior";"siconfi-cor_DO3.3.80.00.00.00";10435330,09
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.90.00.00 - Aplicações Diretas";"siconfi-cor_DO3.3.90.00.00.00";13030973430,85
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.90.04.00 - Contratação por Tempo Determinado";"siconfi-cor_DO3.3.90.04.00.00";64659472,33
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.90.08.00 - Outros Benefícios Assistenciais do servidor e do militar";"siconfi-cor_DO3.3.90.08.00.00";36128767,48
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.90.14.00 - Diárias - Civil";"siconfi-cor_DO3.3.90.14.00.00";39871397,11
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.90.15.00 - Diárias - Militar";"siconfi-cor_DO3.3.90.15.00.00";18804481,14
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.90.18.00 - Auxílio Financeiro a Estudantes";"siconfi-cor_DO3.3.90.18.00.00";145518888,81
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.90.19.00 - Auxílio-Fardamento";"siconfi-cor_DO3.3.90.19.00.00";49749703,58
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.90.20.00 - Auxílio Financeiro a Pesquisadores";"siconfi-cor_DO3.3.90.20.00.00";12486336,89
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.90.30.00 - Material de Consumo";"siconfi-cor_DO3.3.90.30.00.00";497341493,42
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.90.31.00 - Premiações Culturais, Artísticas, Científicas, Desportivas e Outras";"siconfi-cor_DO3.3.90.31.00.00";36420602,29
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.90.32.00 - Material, Bem ou Serviço para Distribuição Gratuita";"siconfi-cor_DO3.3.90.32.00.00";375624089,62
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.90.33.00 - Passagens e Despesas com Locomoção";"siconfi-cor_DO3.3.90.33.00.00";45988216,32
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.90.34.00 - Outras Despesas de Pessoal decorrentes de Contratos de Terceirização";"siconfi-cor_DO3.3.90.34.00.00";130206978,15
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.90.35.00 - Serviços de Consultoria";"siconfi-cor_DO3.3.90.35.00.00";43874811,76
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.90.36.00 - Outros Serviços de Terceiros - Pessoa Física";"siconfi-cor_DO3.3.90.36.00.00";530937762,89
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.90.37.00 - Locação de Mão-de-Obra";"siconfi-cor_DO3.3.90.37.00.00";967461720,42
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.90.39.00 - Outros Serviços de Terceiros - Pessoa Jurídica";"siconfi-cor_DO3.3.90.39.00.00";7155621035,45
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.90.40.00 - Serviços de Tecnologia da Informação e Comunicação (TIC) - Pessoa Jurídica";"siconfi-cor_DO3.3.90.40.00.00";400869110,07
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.90.46.00 - Auxílio-Alimentação";"siconfi-cor_DO3.3.90.46.00.00";431103452,93
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.90.47.00 - Obrigações Tributárias e Contributivas";"siconfi-cor_DO3.3.90.47.00.00";448939129,28
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.90.48.00 - Outros Auxílios Financeiros a Pessoas Físicas";"siconfi-cor_DO3.3.90.48.00.00";114744391,63
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.90.49.00 - Auxílio-Transporte";"siconfi-cor_DO3.3.90.49.00.00";141496344,17
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.90.59.00 - Pensões Especiais";"siconfi-cor_DO3.3.90.59.00.00";35047165,72
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.90.91.00 - Sentenças Judiciais";"siconfi-cor_DO3.3.90.91.00.00";127432823,15
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.90.92.00 - Despesas de Exercícios Anteriores";"siconfi-cor_DO3.3.90.92.00.00";850237055,91
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.90.93.00 - Indenizações e Restituições";"siconfi-cor_DO3.3.90.93.00.00";330408200,33
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.91.00.00 - Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos Fiscal e da Seguridade Social";"siconfi-cor_DI3.3.91.00.00.00";886560387,88
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"3.3.94.00.00 - Aplicação Direta Decorrente de Operação de Órgãos, Fundos e Entidades Integrantes dos Orçamentos Fiscal e da Seguridade Social com Consórcio Público do qual o Ente Não Participe";"siconfi-cor_DO3.3.94.00.00.00";28326936,81
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"4.0.00.00.00 - Despesas de Capital";"siconfi-cor_DO4.0.00.00.00.00";6954924918,92
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"4.4.00.00.00 - Investimentos";"siconfi-cor_DO4.4.00.00.00.00";4090731072,2
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"4.4.40.00.00 - Transferências a Municípios";"siconfi-cor_DO4.4.40.00.00.00";30739402,36
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"4.4.41.00.00 - Transferências a Municípios - Fundo a Fundo";"siconfi-cor_DO4.4.41.00.00.00";25267957,98
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"4.4.50.00.00 - Transferências a Instituições Privadas sem Fins Lucrativos";"siconfi-cor_DO4.4.50.00.00.00";218714745,7
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"4.4.60.00.00 - Transferências a Instituições Privadas sem Fins Lucrativos";"siconfi-cor_DO4.4.60.00.00.00";54010,00
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"4.4.70.00.00 - Transferências a Instituições Multigovernamentais";"siconfi-cor_DO4.4.70.00.00.00";12671997,88
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"4.4.71.00.00 - Transferências a Consórcios Públicos mediante contrato de rateio";"siconfi-cor_DO4.4.71.00.00.00";79923,24
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"4.4.90.00.00 - Aplicações Diretas";"siconfi-cor_DO4.4.90.00.00.00";3796465171,29
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"4.4.90.20.00 - Auxílio Financeiro a Pesquisadores";"siconfi-cor_DO4.4.90.20.00.00";3140297,28
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"4.4.90.30.00 - Material de Consumo";"siconfi-cor_DO4.4.90.30.00.00";1277827,98
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"4.4.90.35.00 - Serviços de Consultoria";"siconfi-cor_DO4.4.90.35.00.00";4323323,54
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"4.4.90.39.00 - Outros Serviços de Terceiros - Pessoa Jurídica";"siconfi-cor_DO4.4.90.39.00.00";38644401,6
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"4.4.90.40.00 - Serviços de Tecnologia da Informação e Comunicação (TIC) - Pessoa Jurídica";"siconfi-cor_DO4.4.90.40.00.00";32471706,68
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"4.4.90.47.00 - Obrigações Tributárias e Contributivas";"siconfi-cor_DO4.4.90.47.00.00";51650,86
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"4.4.90.51.00 - Obras e Instalações";"siconfi-cor_DO4.4.90.51.00.00";2205902488,19
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"4.4.90.51.99 - Demais Obras e Instalações";"siconfi-cor_DO4.4.90.51.99.00";2205902488,19
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"4.4.90.52.00 - Equipamentos e Material Permanente";"siconfi-cor_DO4.4.90.52.00.00";1094306344,72
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"4.4.90.61.00 - Aquisição de Imóveis";"siconfi-cor_DO4.4.90.61.00.00";21795612,47
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"4.4.90.91.00 - Sentenças Judiciais";"siconfi-cor_DO4.4.90.91.00.00";46331240,97
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"4.4.90.92.00 - Despesas de Exercícios Anteriores";"siconfi-cor_DO4.4.90.92.00.00";150162495,55
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"4.4.90.93.00 - Indenizações e Restituições";"siconfi-cor_DO4.4.90.93.00.00";198057781,45
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"4.4.94.00.00 - Aplicação Direta Decorrente de Operação de Órgãos, Fundos e Entidades Integrantes dos Orçamentos Fiscal e da Seguridade Social com Consórcio Público do qual o Ente Não Participe";"siconfi-cor_DO4.4.94.00.00.00";6737863,75
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"4.5.00.00.00 - Inversões Financeiras";"siconfi-cor_DO4.5.00.00.00.00";1534229906,64
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"4.5.20.00.00 - Transferências à União";"siconfi-cor_DO4.5.20.00.00.00";34863192,00
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"4.5.67.00.00 - Execução de Contrato de Parceria Público-Privada - PPP";"siconfi-cor_DO4.5.67.00.00.00";492419430,35
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"4.5.90.00.00 - Aplicações Diretas";"siconfi-cor_DO4.5.90.00.00.00";552912700,29
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"4.5.90.65.00 - Constituição ou Aumento de Capital de Empresas";"siconfi-cor_DO4.5.90.65.00.00";20411673,4
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"4.5.90.66.00 - Concessão de Empréstimos e Financiamentos";"siconfi-cor_DO4.5.90.66.00.00";166513515,3
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"4.5.90.84.00 - Despesas Decorrentes da Participação em Fundos, Organismos ou Entidades Assemelhadas, Nacionais e Internacionais";"siconfi-cor_DO4.5.90.84.00.00";250000000,00
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"4.5.90.93.00 - Indenizações e Restituições";"siconfi-cor_DO4.5.90.93.00.00";114445844,05
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"4.5.90.99.00 - A Classificar";"siconfi-cor_DO4.5.90.99.00.00";1541667,54
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"4.5.91.00.00 - Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos Fiscal e da Seguridade Social";"siconfi-cor_DI4.5.91.00.00.00";454034584,00
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"4.6.00.00.00 - Amortização da Dívida";"siconfi-cor_DO4.6.00.00.00.00";1329963940,08
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"4.6.90.00.00 - Aplicações Diretas";"siconfi-cor_DO4.6.90.00.00.00";1329963940,08
Governo do Estado da Bahia;29;BA;14930634;"Despesas Empenhadas";"4.6.90.71.00 - Principal da Dívida Contratual Resgatado";"siconfi-cor_DO4.6.90.71.00.00";1329963940,08
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"Total Geral da Despesa";"siconfi-cor_TotalDespesas";55106053937,02
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.0.00.00.00 - Despesas Correntes";"siconfi-cor_DO3.0.00.00.00.00";49024893935,37
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.1.00.00.00 - Pessoal e Encargos Sociais";"siconfi-cor_DO3.1.00.00.00.00";25096850939,45
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.1.71.00.00 - Transferências a Consórcios Públicos mediante contrato de rateio";"siconfi-cor_DO3.1.71.00.00.00";57248986,52
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.1.90.00.00 - Aplicações Diretas";"siconfi-cor_DO3.1.90.00.00.00";23174402298,67
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.1.90.01.00 - Aposentadorias do RPPS, Reserva Remunerada e Reformas dos Militares";"siconfi-cor_DO3.1.90.01.00.00";8064900321,97
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.1.90.03.00 - Pensões do RPPS e do Militar";"siconfi-cor_DO3.1.90.03.00.00";1189439786,22
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.1.90.04.00 - Contratação por Tempo Determinado";"siconfi-cor_DO3.1.90.04.00.00";585050595,62
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.1.90.05.00 - Outros Benefícios Previdenciários do Servidor ou do Militar";"siconfi-cor_DO3.1.90.05.00.00";3402,00
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.1.90.07.00 - Contribuição a Entidades Fechadas de Previdência";"siconfi-cor_DO3.1.90.07.00.00";14501072,39
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.1.90.11.00 - Vencimentos e Vantagens Fixas - Pessoal Civil";"siconfi-cor_DO3.1.90.11.00.00";9525590965,83
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.1.90.12.00 - Vencimentos e Vantagens Fixas - Pessoal Militar";"siconfi-cor_DO3.1.90.12.00.00";2311397719,08
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.1.90.13.00 - Obrigações Patronais";"siconfi-cor_DO3.1.90.13.00.00";305673283,27
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.1.90.13.99 - Outras Obrigações Patronais";"siconfi-cor_DO3.1.90.13.99.00";305673283,27
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.1.90.16.00 - Outras Despesas Variáveis - Pessoal Civil";"siconfi-cor_DO3.1.90.16.00.00";141369018,34
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.1.90.17.00 - Outras Despesas Variáveis - Pessoal Militar";"siconfi-cor_DO3.1.90.17.00.00";269130742,36
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.1.90.91.00 - Sentenças Judiciais";"siconfi-cor_DO3.1.90.91.00.00";402447527,2
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.1.90.92.00 - Despesas de Exercícios Anteriores";"siconfi-cor_DO3.1.90.92.00.00";291482628,51
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.1.90.94.00 - Indenizações e Restituições Trabalhistas";"siconfi-cor_DO3.1.90.94.00.00";42585672,82
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.1.90.96.00 - Ressarcimento de Despesas de Pessoal Requisitado";"siconfi-cor_DO3.1.90.96.00.00";22418174,43
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.1.90.99.00 - A Classificar";"siconfi-cor_DO3.1.90.99.00.00";8411388,63
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.1.91.00.00 - Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos Fiscal e da Seguridade Social";"siconfi-cor_DI3.1.91.00.00.00";1865199654,26
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.1.91.13.00 - Contribuições Patronais";"siconfi-cor_DI3.1.91.13.00.00";1727703341,99
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.1.91.13.99 - Outras Obrigações Patronais - Intraorçamentária";"siconfi-cor_DI3.1.91.13.99.00";1727703341,99
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.1.91.92.00 - Despesas de Exercícios Anteriores";"siconfi-cor_DI3.1.91.92.00.00";137496312,27
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.2.00.00.00 - Juros e Encargos da Dívida";"siconfi-cor_DO3.2.00.00.00.00";494063052,44
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.2.90.00.00 - Aplicações Diretas";"siconfi-cor_DO3.2.90.00.00.00";494063052,44
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.2.90.21.00 - Juros sobre a Dívida por Contrato";"siconfi-cor_DO3.2.90.21.00.00";442806546,21
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.2.90.22.00 - Outros Encargos sobre a Dívida por Contrato";"siconfi-cor_DO3.2.90.22.00.00";51256506,23
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.3.00.00.00 - Outras Despesas Correntes";"siconfi-cor_DO3.3.00.00.00.00";23433979943,48
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.3.40.00.00 - Transferências a Municípios";"siconfi-cor_DO3.3.40.00.00.00";8468734511,67
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.3.40.41.00 - Contribuições";"siconfi-cor_DO3.3.40.41.00.00";101585689,26
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.3.40.81.00 - Distribuição Constitucional ou Legal de Receitas";"siconfi-cor_DO3.3.40.81.00.00";8356736002,76
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.3.40.92.00 - Despesas de exercícios anteriores";"siconfi-cor_DO3.3.40.92.00.00";3741402,13
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.3.40.93.00 - Indenizações e restituições";"siconfi-cor_DO3.3.40.93.00.00";6671417,52
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.3.41.00.00 - Transferências a Municípios - Fundo a Fundo";"siconfi-cor_DO3.3.41.00.00.00";257192706,71
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.3.50.00.00 - Transferências a Instituições Privadas sem Fins Lucrativos";"siconfi-cor_DO3.3.50.00.00.00";382192215,04
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.3.60.00.00 - Transferências a Instituições Privadas com Fins Lucrativos";"siconfi-cor_DO3.3.60.00.00.00";1969362,56
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.3.67.00.00 - Execução de Contrato de Parceria Público-Privada - PPP";"siconfi-cor_DO3.3.67.00.00.00";842038527,59
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.3.70.00.00 - Transferências a Instituições Multigovernamentais";"siconfi-cor_DO3.3.70.00.00.00";2893196,87
Governo do Estado da Bahia;29;BA;14930634;"Despesas Liquidadas";"3.3.71.00.00 - Transferências a Consórcios Públicos mediante contrato de rateio";"siconfi-cor_DO3.3.71.00.00.00";50140391,78
